idno,author-short,title-short,year,country,narrative-perspective,subgenre-theme,subgenre-current,subgenre-novela,tokens
nh0144,CuellarJT,IsolinaExFigurante,1871,Mexico,heterodiegetic,novela de costumbres,novela romántica,novela,69206
nh0145,CasteraP,DramasCorazon,1890,Mexico,heterodiegetic,other,novela romántica,none,42858
nh0147,PichardoE,Fatalista,1866,Cuba,heterodiegetic,novela de costumbres,novela romántica,novela,73296
nh0148,OcantosCM,EntreLuces,1892,Argentina,heterodiegetic,other,novela realista,none,75245
nh0150,LarrosaAnsaldoL,Esposos,1893,Argentina,heterodiegetic,other,novela romántica,novela,36721
nh0154,AuberNoyaVF,Wilhelmina,1843,Cuba,heterodiegetic,other,unknown,none,28612
nh0158,EchaizJ,Paladin,1871,Mexico,heterodiegetic,other,novela romántica,novela,103198
nh0161,LopezVF,GranSemana,1896,Argentina,autodiegetic,other,novela romántica,none,20770
nh0164,GroussacP,FrutoVedado,1881,Argentina,heterodiegetic,novela de costumbres,novela naturalista,none,68462
nh0165,SaladoAlvarezV,RanasRey,1903,Mexico,autodiegetic,other,novela realista,none,58901
nh0166,BacardiMoreauE,ViaCrucis,1910,Cuba,heterodiegetic,other,unknown,none,99221
nh0172,LarrosaAnsaldoL,Lujo,1889,Argentina,heterodiegetic,novela de costumbres,novela romántica,novela,39528
nh0175,RabasaE,MonedaFalsa,1888,Mexico,autodiegetic,other,novela realista,none,47910
nh0176,OlascoagaMJ,SargentoClaro,1898,Argentina,heterodiegetic,other,unknown,novela,49116
nh0179,DominguezS,PerfilesMedallones,1886,Argentina,autodiegetic,novela de costumbres,novela naturalista,none,46760
nh0180,AnconaE,Filibustero,1864,Mexico,heterodiegetic,other,novela romántica,novela,101221
nh0187,HolmbergEL,Nelly,1896,Argentina,autodiegetic,other,unknown,none,19933
nh0195,PellizaSagastaJ,Margarita,1875,Argentina,heterodiegetic,other,novela romántica,novela,69250
nh0197,CuellarJT,ChuchoNinfo,1871,Mexico,heterodiegetic,novela de costumbres,novela romántica,novela,63808
nh0198,RabasaE,GranCiencia,1887,Mexico,autodiegetic,other,novela realista,novela,39710
nh0199,CuellarJT,Mariditos,1890,Mexico,heterodiegetic,novela de costumbres,novela romántica,novela,25753
nh0200,VarelaLV,HuellaCrimen,1877,Argentina,heterodiegetic,other,unknown,novela,45322
nh0201,GutierrezE,CarloLanza,1886,Argentina,heterodiegetic,other,novela romántica,none,115941
nh0205,AzuelaM,MalaYerba,1909,Mexico,heterodiegetic,other,novela naturalista,none,43997
nh0211,SanchezMarmolM,Pocahontas,1882,Mexico,heterodiegetic,other,unknown,none,35091
nh0213,BlancoCM,Salvaje,1891,Argentina,heterodiegetic,novela de costumbres,unknown,novela,20912
nh0214,ZentellaA,Perico,1885,Mexico,heterodiegetic,novela de costumbres,novela realista,novela,22593
nh0217,MendezCuencaL,EspejoAmarilis,1902,Mexico,heterodiegetic,novela de costumbres,novela naturalista,novela,180344
nh0220,PuigPuenteF,CampanaTarde,1873,Cuba,heterodiegetic,novela de costumbres,novela romántica,novela,46047
nh0223,SolarA,ContraMarea,1894,Argentina,heterodiegetic,other,novela naturalista,none,51085
nh0228,GuiterasFontE,IreneAlbar,1885,Cuba,heterodiegetic,other,unknown,novela,40281
nh0229,GarciaMerouM,LeySocial,1885,Argentina,heterodiegetic,other,novela naturalista,none,29429
nh0238,BetancourtR,FeriaCaridad,1841,Cuba,heterodiegetic,novela de costumbres,novela romántica,none,43766
nh0239,SanJuanM,Gobernador,1901,Mexico,heterodiegetic,other,novela realista,none,27133
nh0240,CasteraP,Maduros,1882,Mexico,heterodiegetic,other,novela romántica,none,17444
nh0242,HerediaN,HombreNegocios,1882,Cuba,heterodiegetic,novela de costumbres,unknown,novela,42098
nh0246,TovarP,Ironias,1851,Mexico,heterodiegetic,novela de costumbres,novela romántica,novela,206900
nh0252,RamirezJM,Gabriela,1862,Mexico,autodiegetic,other,novela romántica,none,20574
nh0253,CuellarJT,PecadoSiglo,1869,Mexico,heterodiegetic,other,novela romántica,novela,119738
nh0255,SolarA,Rastaquouere,1890,Argentina,heterodiegetic,other,novela naturalista,none,48060
