,class_1,class_2,num_runs,top_acc,mean_acc,sd_acc,top_f1,mean_f1,sd_f1
0,novela histórica,other,100,1.0,0.8343406593406594,0.08830398569502318,1.0,0.8344693933517463,0.08569787007011329
1,novela sentimental,other,100,1.0,0.7772727272727274,0.13568010505999364,1.0,0.760406204906205,0.15798392570349556
2,novela de costumbres,other,100,1.0,0.7220000000000002,0.1446236495183274,1.0,0.7316536796536797,0.14738841819719473
3,novela histórica,novela sentimental,100,1.0,0.9218181818181819,0.10286796479865917,1.0,0.9271319236319235,0.09370999225198413
4,novela histórica,novela de costumbres,100,1.0,0.8640000000000001,0.09112628599915613,1.0,0.8530468975468974,0.10349609487176147
5,novela sentimental,novela de costumbres,100,1.0,0.7420000000000002,0.11417530380953671,1.0,0.7190299700299702,0.13203320989201128
