,class_1,class_2,num_runs,top_acc,mean_acc,sd_acc,top_f1,mean_f1,sd_f1
0,novela histórica,other,100,1.0,0.8510989010989012,0.08488077405188355,1.0,0.8526439149086208,0.0828661203982754
1,novela sentimental,other,100,1.0,0.7745454545454545,0.1307827673334869,1.0,0.7580222555222556,0.15144029514559404
2,novela de costumbres,other,100,1.0,0.7339999999999999,0.1365430335095863,1.0,0.7482842712842713,0.13807339970863278
3,novela histórica,novela sentimental,100,1.0,0.91,0.1024453089326888,1.0,0.9166047286047286,0.09317586657635978
4,novela histórica,novela de costumbres,100,1.0,0.8870000000000003,0.08905616205518851,1.0,0.8801688311688313,0.09368260155052266
5,novela sentimental,novela de costumbres,100,1.0,0.736,0.11620671237067164,1.0,0.7086191586191585,0.14142296301657148
