,class_1,class_2,num_runs,top_acc,mean_acc,sd_acc,top_f1,mean_f1,sd_f1
0,novela histórica,other,100,1.0,0.7014285714285714,0.11172430789997122,1.0,0.7033328779064072,0.11436086663739273
1,novela sentimental,other,100,0.9090909090909092,0.6418181818181818,0.1407300915855808,0.923076923076923,0.6199225944123903,0.17328518886843006
2,novela de costumbres,other,100,1.0,0.617,0.15036954478883016,1.0,0.6098681873681874,0.160246338770843
3,novela histórica,novela sentimental,100,1.0,0.740909090909091,0.12944573514452862,1.0,0.7459045954045953,0.12760357642720532
4,novela histórica,novela de costumbres,100,1.0,0.764,0.12924395537122813,1.0,0.7715849150849151,0.1207433932068754
5,novela sentimental,novela de costumbres,100,0.8,0.59,0.12767145334803703,0.8333333333333333,0.549883005883006,0.1717353290384043
