idno,tpx_all,DATE,TIME,DURATION,SET,PRESENT_REF,FUTURE_REF,PAST_REF,SP,SU,FA,WI,MO,MI,AF,NI,DATE_century,DATE_decade,DATE_year,DATE_month,DATE_day,DATE_spec_none,DATE_spec_year,DATE_spec_year_month,DATE_spec_month,DATE_spec_day,DATE_spec_month_day,DATE_spec_any,DATE_spec_full,TIME_daytime,TIME_hour,DURATION_century,DURATION_decade,DURATION_year,DURATION_month,DURATION_week,DURATION_day,DURATION_hour,DURATION_minute,SET_century,SET_year,SET_month,SET_week,SET_day,SET_daytime,VERB_present,VERB_imperfect,VERB_future,VERB_past,VERB_conditional,ahora,pronto,hoy,mañana,el_día,ayer,al_día_siguiente,del_día,julio,este_momento,próximo,próxima,domingo,ahora_mismo,actual,el_año,el_día_siguiente,invierno,estos_momentos,hoy_mismo,domingos,al_siguiente_día,reciente,la_primavera,primavera,la_semana,mañana_mismo,del_año,próximos,mayo,el_día_anterior,el_domingo,próximas,actualmente,el_mismo_día,verano,estos_días,el_invierno,del_siglo,del_día_siguiente,este_día,el_sábado,diciembre,el_futuro,abril,los_veinte,recientemente,medio_día,ese_mismo_día,octubre,la_noche,la_mañana,la_tarde,esta_noche,anoche,la_madrugada,esta_mañana,esta_tarde,pasado_mañana,última_noche,el_mediodía,esta_noche_misma,el_mañana,la_medianoche,estas_noches,siguiente_mañana,siguiente_noche,esta_madrugada,pasada_noche,la_mañana_del_domingo,la_noche_del_viernes,la_noche_del_domingo,las_9_de_la_mañana,última_tarde,la_tarde_del_domingo,esta_tarde_misma,la_noche_del_lunes,siguiente_madrugada,las_9_de_la_noche,estas_tardes,las_4_de_la_tarde,la_noche_del_jueves,esta_mañana_misma,la_mañana_del_viernes,las_11_de_la_mañana,la_tarde_del_sábado,próxima_madrugada,últimas_noches,próxima_noche,pasado_noche,las_5_de_la_tarde,la_tarde_del_viernes,la_mañana_del_sábado,las_11_de_la_noche,las_3_de_la_tarde,la_noche_del_sábado,las_12_de_la_noche,las_6_de_la_tarde,la_noches,presente_mañana,un_día,años,una_hora,tres_días,algunos_días,dos_horas,pocos_días,un_año,todo_el_día,dos_días,muchos_años,un_mes,dos_años,veinte_años,algunos_minutos,algunas_horas,un_minuto,diez_años,ocho_días,dos_meses,quince_días,una_semana,muchos_días,cinco_minutos,tres_años,dos,algunos_años,seis_años,tres_meses,seis_meses,cinco_años,algunos_meses,diez_minutos,pocas_horas,cuatro_días,ocho_años,cuatro_años,quince_años,unos_días,treinta_años,los_pocos_días,tres_horas,pocos_años,pocos_minutos,siete_años,dos_minutos,tres,muchas_horas,un_siglo,pocos_meses,cada_día,todos_los_días,diariamente,todas_las_noches,diario,diaria,todas_las_mañanas,todas_las_tardes,al_día,diarias,diarios,cada_mes,cada_año,mensuales,al_mes,al_año,al_mediodía,cada_semana,cada_noche,mensual,anuales,todos_los_años,todos_los_domingos,anual,anualmente,todos_los_sábados,cada_ocho_días,cada_mañana,dos_veces_al_día,dos_veces_por_semana,mensualmente,todos_los_meses,todas_las_semanas,todos_los_siglos,una_vez_por_semana,semanal,al_siglo,cada_domingo,una_vez_al_año,dos_veces_a_la_semana,semanalmente,cada_quince_días,cada_tarde,cada_dos_meses,todos_los_jueves,cada_sábado,todos_los_viernes,una_vez_al_día,cada_dos_días,todos_los_lunes
nh0011,190,113,35,36,6,40,35,0,3,1,2,1,8,0,7,21,2,0,6,14,16,105,0,0,7,0,1,8,0,35,0,0,0,9,1,0,10,10,6,0,1,2,0,2,1,890,1589,38,719,71,20,34,13,10,4,0,2,1,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,21,4,6,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,0,0,2,1,2,1,0,1,1,1,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0012,213,114,23,61,15,55,24,2,0,2,0,2,9,0,3,11,1,0,9,11,12,104,4,1,5,0,0,10,0,23,0,2,0,19,13,0,20,2,4,0,0,2,1,12,0,563,2834,17,451,261,40,24,4,3,7,0,2,3,1,0,0,0,0,0,0,3,0,2,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,7,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,1,0,1,0,2,1,2,0,4,1,1,0,0,3,1,2,2,0,0,0,0,0,1,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,3,0,0,0,1,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0013,271,129,59,51,32,61,28,1,0,1,0,1,10,0,20,41,1,0,1,2,35,129,0,0,0,0,0,0,0,59,0,0,0,19,4,1,18,7,1,0,1,0,0,19,12,1433,2752,101,1451,133,25,25,13,20,7,2,1,6,0,5,1,2,0,3,0,0,4,1,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,35,4,10,0,3,0,2,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,1,1,0,0,0,3,2,3,0,0,0,0,2,1,2,0,2,1,1,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,7,0,1,0,3,2,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nh0014,204,120,22,55,7,35,50,0,4,4,2,3,4,0,4,16,0,0,5,13,17,105,15,0,0,0,0,15,0,22,0,2,0,21,9,0,18,4,1,0,0,0,0,5,2,1737,1619,180,1268,80,23,41,0,7,6,2,0,4,0,1,4,4,0,0,0,2,1,1,0,0,0,4,0,2,1,0,0,2,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,5,1,0,0,0,1,1,1,1,0,1,2,0,2,0,0,0,0,2,0,0,0,4,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0015,529,286,95,120,28,128,25,1,0,1,0,1,36,0,27,33,4,8,8,12,96,172,20,8,1,0,2,113,82,24,0,0,0,43,7,1,49,10,9,0,2,2,0,23,1,3493,3828,275,2910,218,68,18,32,19,16,12,7,2,0,3,4,2,3,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,2,3,0,0,0,2,1,2,1,0,1,2,0,0,0,0,1,1,0,1,0,26,30,26,3,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,2,3,1,1,2,4,0,0,2,1,3,1,0,1,1,1,0,0,1,0,2,0,1,1,1,3,3,0,1,0,1,0,1,0,0,1,3,1,4,0,1,0,0,1,0,1,0,1,5,1,5,0,2,4,0,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nh0016,183,114,12,54,3,48,22,2,0,0,0,0,5,0,1,7,0,1,22,5,14,73,23,5,0,0,0,41,13,0,0,1,0,28,7,2,11,2,3,0,0,0,0,2,1,1365,1581,91,804,49,19,18,19,1,4,0,3,0,0,2,1,1,2,0,2,3,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,0,1,0,0,2,1,0,1,2,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0017,2055,1116,395,484,60,491,89,1,6,3,1,23,84,1,64,261,12,12,97,89,310,581,160,57,0,0,0,535,318,0,0,7,1,152,28,9,106,78,103,0,1,2,2,37,17,12354,6396,989,5083,455,153,72,136,127,45,34,2,19,1,38,10,4,11,29,16,4,0,8,7,5,0,4,1,4,2,1,5,3,2,11,0,0,0,14,3,2,3,3,1,1,7,0,0,1,6,7,0,0,1,7,155,49,48,60,35,7,10,13,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15,24,24,5,9,15,10,9,9,7,10,2,5,9,10,8,27,3,6,1,5,2,3,11,6,5,4,1,1,4,7,4,15,9,5,5,2,5,3,3,0,4,1,7,8,12,3,0,4,1,5,20,2,9,3,4,4,3,2,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0018,288,141,37,93,17,68,27,0,7,5,1,5,3,0,24,19,0,0,0,30,16,128,0,0,12,0,1,13,0,37,0,0,0,28,9,4,32,9,11,1,1,0,0,6,9,1738,2293,98,1103,58,26,25,30,4,5,5,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,2,0,2,0,0,2,0,2,13,1,12,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,4,2,0,2,1,1,1,0,1,1,0,1,1,1,0,0,1,2,0,4,3,3,0,2,0,1,1,0,0,0,2,0,1,2,0,1,0,0,2,0,2,0,1,0,0,1,0,1,2,1,0,1,1,0,0,8,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0019,94,45,19,20,10,11,16,0,0,0,1,3,5,0,1,13,0,0,0,5,13,44,0,0,1,0,0,1,0,19,0,0,0,8,2,1,6,2,1,0,0,0,1,9,0,278,1015,17,414,116,2,5,0,5,7,1,3,1,0,0,1,7,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0020,136,97,7,28,4,39,19,0,1,2,1,1,0,0,5,2,10,0,9,6,14,72,23,1,0,0,0,24,0,7,0,5,0,13,1,1,6,2,0,0,0,0,0,4,0,916,1270,69,638,55,13,9,18,3,1,4,4,4,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,7,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
