idno,tpx_all,DATE,TIME,DURATION,SET,PRESENT_REF,FUTURE_REF,PAST_REF,SP,SU,FA,WI,MO,MI,AF,NI,DATE_century,DATE_decade,DATE_year,DATE_month,DATE_day,DATE_spec_none,DATE_spec_year,DATE_spec_year_month,DATE_spec_month,DATE_spec_day,DATE_spec_month_day,DATE_spec_any,DATE_spec_full,TIME_daytime,TIME_hour,DURATION_century,DURATION_decade,DURATION_year,DURATION_month,DURATION_week,DURATION_day,DURATION_hour,DURATION_minute,SET_century,SET_year,SET_month,SET_week,SET_day,SET_daytime,VERB_present,VERB_imperfect,VERB_future,VERB_past,VERB_conditional,ahora,pronto,hoy,mañana,el_día,ayer,al_día_siguiente,del_día,julio,este_momento,próximo,próxima,domingo,ahora_mismo,actual,el_año,el_día_siguiente,invierno,estos_momentos,hoy_mismo,domingos,al_siguiente_día,reciente,la_primavera,primavera,la_semana,mañana_mismo,del_año,próximos,mayo,el_día_anterior,el_domingo,próximas,actualmente,el_mismo_día,verano,estos_días,el_invierno,del_siglo,del_día_siguiente,este_día,el_sábado,diciembre,el_futuro,abril,los_veinte,recientemente,medio_día,ese_mismo_día,octubre,la_noche,la_mañana,la_tarde,esta_noche,anoche,la_madrugada,esta_mañana,esta_tarde,pasado_mañana,última_noche,el_mediodía,esta_noche_misma,el_mañana,la_medianoche,estas_noches,siguiente_mañana,siguiente_noche,esta_madrugada,pasada_noche,la_mañana_del_domingo,la_noche_del_viernes,la_noche_del_domingo,las_9_de_la_mañana,última_tarde,la_tarde_del_domingo,esta_tarde_misma,la_noche_del_lunes,siguiente_madrugada,las_9_de_la_noche,estas_tardes,las_4_de_la_tarde,la_noche_del_jueves,esta_mañana_misma,la_mañana_del_viernes,las_11_de_la_mañana,la_tarde_del_sábado,próxima_madrugada,últimas_noches,próxima_noche,pasado_noche,las_5_de_la_tarde,la_tarde_del_viernes,la_mañana_del_sábado,las_11_de_la_noche,las_3_de_la_tarde,la_noche_del_sábado,las_12_de_la_noche,las_6_de_la_tarde,la_noches,presente_mañana,un_día,años,una_hora,tres_días,algunos_días,dos_horas,pocos_días,un_año,todo_el_día,dos_días,muchos_años,un_mes,dos_años,veinte_años,algunos_minutos,algunas_horas,un_minuto,diez_años,ocho_días,dos_meses,quince_días,una_semana,muchos_días,cinco_minutos,tres_años,dos,algunos_años,seis_años,tres_meses,seis_meses,cinco_años,algunos_meses,diez_minutos,pocas_horas,cuatro_días,ocho_años,cuatro_años,quince_años,unos_días,treinta_años,los_pocos_días,tres_horas,pocos_años,pocos_minutos,siete_años,dos_minutos,tres,muchas_horas,un_siglo,pocos_meses,cada_día,todos_los_días,diariamente,todas_las_noches,diario,diaria,todas_las_mañanas,todas_las_tardes,al_día,diarias,diarios,cada_mes,cada_año,mensuales,al_mes,al_año,al_mediodía,cada_semana,cada_noche,mensual,anuales,todos_los_años,todos_los_domingos,anual,anualmente,todos_los_sábados,cada_ocho_días,cada_mañana,dos_veces_al_día,dos_veces_por_semana,mensualmente,todos_los_meses,todas_las_semanas,todos_los_siglos,una_vez_por_semana,semanal,al_siglo,cada_domingo,una_vez_al_año,dos_veces_a_la_semana,semanalmente,cada_quince_días,cada_tarde,cada_dos_meses,todos_los_jueves,cada_sábado,todos_los_viernes,una_vez_al_día,cada_dos_días,todos_los_lunes
nh0021,306,157,64,79,6,74,35,4,0,5,2,0,13,0,8,43,1,0,3,9,31,157,0,0,0,0,0,0,0,64,0,0,0,31,4,3,27,8,6,0,0,0,0,3,0,1878,1393,142,1601,53,27,31,13,17,11,6,1,4,0,15,3,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,9,4,9,5,0,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,4,0,3,1,11,0,4,0,0,2,4,1,0,1,0,4,1,3,1,0,1,1,0,0,2,1,2,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
nh0022,347,175,104,62,6,41,47,0,0,0,0,4,30,1,25,51,1,0,2,8,76,88,7,4,0,0,0,87,76,1,0,0,0,16,1,1,21,11,12,0,0,0,0,3,3,836,2797,56,1879,117,21,35,3,15,11,0,11,5,0,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,1,1,0,0,3,0,2,0,0,0,0,1,0,0,0,1,1,48,18,25,0,1,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0,4,1,0,1,3,4,0,0,1,1,1,1,2,0,0,1,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0023,202,96,44,57,5,41,30,0,0,0,1,0,13,0,8,24,1,0,2,3,19,93,0,0,2,0,1,3,0,44,0,0,0,19,6,1,15,7,9,0,0,0,0,4,1,1382,1538,96,1368,117,22,18,8,5,1,3,3,1,0,3,1,4,0,0,2,1,2,0,0,1,1,1,0,0,0,0,1,0,3,0,1,0,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,21,9,8,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,1,0,1,0,1,0,2,0,3,0,1,2,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0024,276,135,30,91,20,54,19,1,3,3,0,1,5,0,1,26,0,0,11,11,37,84,16,2,1,0,0,50,31,8,0,1,0,48,4,0,28,8,2,0,1,0,2,13,2,2813,1142,178,1038,81,14,19,21,11,14,8,6,3,0,1,0,0,1,0,0,3,3,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18,4,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,4,0,0,0,0,1,2,2,1,0,2,0,2,1,0,1,1,0,0,0,1,0,0,0,1,1,0,3,2,0,0,1,2,1,0,1,0,1,0,0,3,0,1,0,1,0,1,0,6,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nh0025,492,259,52,146,35,110,45,2,0,2,0,2,10,0,4,42,4,2,13,9,74,172,22,3,0,0,0,87,62,16,0,0,0,74,18,3,34,16,1,0,0,0,1,30,4,2975,2444,247,1647,128,22,27,41,31,25,4,1,6,0,10,6,8,0,0,0,2,9,1,0,1,0,2,2,0,0,0,5,1,4,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,2,0,3,1,0,28,6,3,2,9,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,2,1,1,2,2,3,2,4,5,5,4,1,1,1,0,2,3,2,2,3,3,0,1,0,3,0,2,2,8,2,0,4,1,3,1,1,0,1,0,0,6,0,0,0,0,0,0,0,7,17,4,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0026,710,345,108,238,19,139,64,1,4,1,0,0,40,1,7,62,2,5,17,24,93,205,29,18,0,0,0,140,93,0,0,1,0,66,15,2,93,31,30,0,0,0,0,17,2,3832,3283,415,4147,157,70,39,26,52,16,8,7,4,0,16,8,8,0,0,1,1,2,0,0,2,0,0,1,3,1,1,0,0,5,0,4,0,2,0,1,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,40,30,6,14,7,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32,11,10,12,7,6,6,6,1,5,1,1,3,0,0,2,5,4,7,4,0,0,4,11,4,0,4,1,2,0,7,2,5,1,3,2,3,1,0,1,0,2,0,3,2,2,3,1,0,0,4,4,4,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0027,370,178,69,112,11,67,14,4,1,1,0,3,15,0,11,44,7,3,16,32,35,110,31,27,0,0,0,68,10,47,2,0,0,72,8,0,25,1,6,2,2,0,0,4,3,1788,2389,67,1174,77,10,11,21,12,12,5,8,15,23,4,2,1,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,1,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,3,2,0,0,34,9,10,4,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,11,0,2,0,0,0,1,1,0,2,0,5,8,1,0,0,3,0,1,1,0,1,2,0,0,1,2,1,1,1,0,1,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0028,310,190,30,85,5,72,25,0,2,1,0,1,16,0,11,3,0,0,17,20,54,97,23,16,0,0,0,93,54,0,0,0,0,45,10,1,21,7,1,0,1,0,0,3,0,1937,1314,189,963,77,18,16,31,8,9,5,6,4,0,2,3,5,5,0,2,1,1,0,1,0,0,0,0,1,1,1,0,3,1,1,0,1,0,0,2,1,0,0,0,4,0,2,0,0,1,0,0,0,0,0,3,10,11,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,2,1,3,3,3,4,0,0,1,3,6,0,0,1,1,0,0,1,0,1,1,0,2,0,3,0,1,0,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0029,531,222,169,113,27,99,22,1,14,5,2,28,27,0,11,139,7,0,2,60,31,213,0,0,9,0,0,9,0,169,0,3,0,62,6,1,30,9,2,2,0,1,0,16,8,5143,3141,174,1982,64,47,20,11,18,31,1,3,4,2,3,0,1,1,0,1,0,1,19,0,1,2,0,1,10,3,0,1,0,0,1,0,0,0,0,0,1,1,5,2,0,0,1,0,1,0,0,0,0,0,1,121,15,10,9,0,6,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,3,3,1,1,0,0,0,4,1,2,4,6,0,0,0,0,0,1,0,0,1,1,0,2,0,1,2,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,3,10,0,5,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0030,234,92,90,42,10,42,5,1,7,5,1,5,12,0,13,71,0,0,3,20,20,91,0,0,1,0,0,1,0,90,0,0,0,19,1,0,19,3,0,0,0,1,0,3,6,3700,1259,48,946,16,19,5,7,11,8,3,1,3,0,1,0,0,0,1,0,0,0,2,0,0,3,0,1,3,4,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,66,4,10,0,1,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,1,0,0,0,1,1,3,1,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0031,242,104,74,47,17,48,10,1,3,1,0,6,13,1,11,51,2,1,5,23,11,73,14,12,2,0,0,28,0,74,0,3,0,30,0,0,10,4,0,1,5,0,0,9,2,4861,1126,65,673,50,9,8,25,3,8,1,5,3,0,3,0,0,0,0,0,3,1,4,0,0,0,0,1,0,3,0,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,49,9,10,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,1,0,0,2,2,3,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,1,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0032,312,125,94,70,23,58,18,0,10,2,2,18,21,0,5,78,1,0,3,33,12,124,0,0,1,0,0,1,0,94,0,2,0,39,5,1,19,4,0,2,2,0,0,9,10,4219,2397,103,1751,71,28,15,8,6,16,1,3,3,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,6,4,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,66,12,5,2,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,0,2,0,1,0,3,0,1,5,1,3,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,6,0,7,0,2,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0033,332,139,78,99,16,68,17,0,13,3,3,13,10,0,8,61,5,0,1,34,14,138,0,0,1,0,0,1,0,78,0,3,0,55,2,1,20,17,0,0,3,0,0,12,1,4750,1866,136,1194,53,18,16,11,7,24,2,3,6,0,0,0,0,1,0,1,0,0,12,2,0,0,0,0,2,11,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,59,2,7,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,1,1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,4,1,1,1,0,0,0,0,0,0,3,1,0,7,5,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0034,209,131,27,40,11,73,32,0,1,1,0,2,10,0,4,14,1,1,2,5,17,128,2,0,1,0,0,3,0,27,0,1,0,14,6,0,10,5,4,0,2,4,0,4,1,2592,1118,68,627,121,38,32,19,11,7,3,2,1,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,4,4,2,4,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,2,0,1,0,0,0,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,2,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nh0035,585,356,82,133,14,218,67,3,1,0,1,0,19,0,14,51,9,0,9,2,48,323,19,0,0,0,0,33,14,52,0,1,0,48,7,1,42,22,11,0,0,0,2,10,2,7046,4905,571,3967,253,95,62,41,29,25,3,3,11,0,16,0,3,3,20,3,0,0,0,1,3,0,0,3,1,0,0,2,2,0,0,1,0,2,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,38,10,12,3,8,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,8,4,1,4,0,1,5,5,1,1,1,0,2,3,0,2,0,2,0,0,0,0,2,2,2,2,0,0,0,0,0,2,1,1,0,1,0,2,0,1,4,2,2,3,1,1,0,1,2,2,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0036,436,236,91,91,18,135,54,1,0,0,0,0,33,0,17,42,0,1,5,3,35,232,1,0,2,0,1,4,0,91,0,0,0,39,3,0,31,11,6,0,2,0,0,15,1,4802,3643,327,2834,214,69,44,13,11,18,3,2,5,1,7,3,5,0,4,3,0,0,0,1,6,6,0,0,0,0,2,1,3,2,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,33,16,15,2,7,5,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3,2,3,1,1,0,7,3,2,0,1,3,1,0,1,0,0,0,0,0,1,0,1,4,0,0,1,0,0,0,0,1,0,2,3,0,1,0,2,2,1,0,1,0,1,0,0,0,2,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
nh0037,524,321,94,94,15,149,66,2,0,2,0,2,17,0,12,64,1,3,13,12,73,218,23,7,0,0,0,103,73,1,0,0,0,29,2,2,29,21,11,0,0,1,0,11,0,4960,3611,450,2334,173,63,61,15,29,16,6,8,3,0,13,1,2,0,19,1,0,0,1,5,8,0,0,2,0,0,2,2,3,1,0,1,1,1,0,0,1,4,0,0,2,0,0,0,0,0,0,0,2,1,0,53,12,12,5,5,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,2,2,2,4,1,5,2,2,0,2,4,2,1,3,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,2,1,2,0,0,1,4,2,1,0,1,0,1,2,0,1,0,0,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
nh0038,535,282,91,117,45,112,71,0,1,0,0,2,22,0,11,66,1,0,3,11,82,275,1,0,5,0,0,6,0,91,0,0,0,36,21,5,35,17,2,0,1,7,0,28,8,2623,4674,193,2890,283,62,66,16,32,7,4,7,13,1,7,2,3,5,1,0,1,0,2,0,1,2,7,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,5,0,47,15,10,11,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,9,0,2,1,2,4,7,1,1,1,1,0,0,1,1,5,0,3,3,3,0,0,1,0,2,1,2,1,3,1,0,0,1,2,1,1,1,0,1,0,0,0,1,0,2,0,0,1,6,8,3,5,4,2,1,0,3,0,1,0,0,1,5,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0039,300,135,37,112,16,36,21,1,0,2,0,5,13,0,10,15,1,2,7,24,43,103,10,9,5,0,0,32,8,32,0,3,0,41,8,3,32,19,6,0,2,6,0,7,1,1261,1731,118,560,124,11,16,11,25,8,4,2,3,4,0,3,0,6,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,13,9,9,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,0,7,0,3,5,2,2,2,5,0,1,3,6,0,3,0,1,3,2,0,0,1,0,4,0,0,0,1,2,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,3,0,1,0,1,0,1,2,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0040,82,38,18,24,2,17,3,1,1,2,1,1,6,0,3,8,0,0,1,8,8,29,6,3,0,0,0,9,0,17,1,1,0,8,4,0,5,4,2,0,1,0,0,1,0,588,493,49,290,35,6,2,2,1,6,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0041,125,65,22,32,6,41,12,1,1,0,0,0,1,1,1,21,0,0,2,3,6,61,2,2,0,0,0,4,0,22,0,0,0,6,0,0,15,8,3,0,0,0,0,4,2,728,568,65,748,29,18,11,11,3,3,1,0,0,0,3,0,1,0,2,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,1,3,1,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0042,396,204,54,114,24,97,32,0,0,8,0,9,22,0,14,21,0,1,26,18,29,168,36,0,0,0,0,36,0,54,0,0,0,31,23,1,32,15,11,0,9,2,0,10,3,4382,1898,187,1439,97,51,30,31,17,9,1,7,1,0,2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,2,0,0,16,11,13,3,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,8,0,1,0,3,1,3,0,3,1,1,1,1,3,2,0,1,2,0,1,2,3,2,0,0,5,6,0,0,2,0,0,0,1,1,0,0,0,2,2,1,0,1,1,0,0,0,1,3,2,1,1,1,1,1,0,1,1,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0043,141,83,35,19,4,43,11,0,3,2,0,0,8,0,1,28,0,0,2,7,20,81,0,0,2,0,0,2,0,35,0,0,0,5,0,0,11,3,0,0,0,0,0,2,2,895,516,81,608,30,20,9,9,10,7,8,0,3,0,4,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,2,9,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nh0044,166,100,19,40,7,57,22,1,1,3,0,0,8,2,9,4,0,0,0,5,15,99,0,0,1,0,0,1,0,19,0,0,0,10,3,0,11,7,9,0,0,1,0,1,4,607,948,62,702,78,38,18,5,8,5,3,1,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,7,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,1,2,1,1,0,1,0,1,2,0,2,1,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
